170,69,-1,recreation,Zen Garden
206,84,-1,recreation,Courts
178,103,-1,recreation,Garden
196,110,-1,cafeteria,Fries and Sync
196,121,-1,recreation,HU Dukaan
225,117,-1,recreation,Gym
235,117,-1,recreation,Swimming pool
238,136,-1,recreation,Table Tennis
220,165,-1,recreation,Amphitheatre
207,180,-1,washroom,amphi washroom
251,177,-1,male prayer area,LG male prayer area
232,191,-1,lab/studio/creatives,engineering workshop
218,242,-1,female prayer area,LGfemale prayer area
231,279,-1,recreation,female lounge
196,334,-1,waiting,parking
180,287,-1,lab/studio/creatives,Electric circuits lab
180,256,-1,lab/studio/creatives,DLD lab
180,229,-1,lab/studio/creatives,Projects lab
178,162,-1,cafeteria,Tapal cafeteria
136,167,-1,classroom,E-012 classroom
121,192,-1,classroom,E-011 classroom (Dinshaw seminar room)
107,220,-1,lab/studio/creatives,Graphics and Visualization lab
97,234,-1,washroom,back LG washroom
109,262,-1,lab/studio/creatives,Linux lab
115,282,-1,lab/studio/creatives,Music room
126,297,-1,elevator,Stairs
218,176,0,recreation,student lounge
211,164,0,faculty pods,faculty pods
262,184,0,lab/studio/creatives,chemistry lab
276,184,0,lab/studio/creatives,ecology lab
265,201,0,lab/studio/creatives,communications lab
276,200,0,lab/studio/creatives,digital systems lab
270,223,0,lab/studio/creatives,math lab
265,247,0,lab/studio/creatives,physics lab
258,260,0,washroom,courtyard washroom
246,260,0,faculty pods,faculty pods
246,211,0,recreation,earth courtyard / water courtyard
226,214,0,classroom,Arif Habib classroom
174,214,0,ATM,ATM
106,231,0,faculty pods,faculty pods
111,245,0,lab/studio/creatives,cassim computing lab
106,267,0,cafeteria,Cafe2go
253,285,0,office,Health/Wellness center
230,299,0,office,Office of Student life
110,307,0,library,library
122,321,0,transit point,stairs
145,334,0,transit point,gate
222,326,0,washroom,entrace washroom
229,346,0,office,Office of Student affairs
177,349,0,transit point,stairs
232,375,0,elevator,Elevator
230,401,0,office,Office of career services
161,393,0,waiting,reception
202,424,0,waiting,waiting area
131,484,0,transit point,entrance gate
191,218,1,transit point,stairs
242,247,1,auditorium/hall,auditorium
221,283,1,transit point,stairs
242,303,1,library,library
218,335,1,faculty pods,faculty pods
210,357,1,lab/studio/creatives,film studio
184,352,1,auditorium/hall,Tariq rafi hall
178,395,1,recreation,Baithak
157,366,1,recreation,Mehfil
157,345,1,classroom,Javat seminar room
133,352,1,classroom,W-245 classroom
122,352,1,classroom,W-246 classroom
149,328,1,faculty pods,faculty pods
170,312,1,classroom,W-234 classroom
188,312,1,washroom,first floor inner washroom
197,294,1,office,PCE
197,280,1,classroom,C-220 classroom
181,263,1,elevator,Elevator
168,273,1,classroom,Standard Chartered classroom
160,259,1,classroom,N-219
151,242,1,classroom,N-218
141,263,1,faculty pods,faculty pods
130,277,1,washroom,faculty washroom
147,292,1,faculty pods,faculty pods
201,153,2,office,President's office
178,224,2,elevator,Elevator
186,300,2,lab/studio/creatives,Buildbox
159,307,2,lab/studio/creatives,Ideal
139,279,2,classroom,N-300
150,253,2,office,offices
140,253,2,faculty pods,faculty pods
257,314,3,transit point,stairs
215,342,3,lab/studio/creatives,mac PC lab
229,295,3,lab/studio/creatives,Techbeta lab
189,295,3,lab/studio/creatives,Techalpha lab
179,253,3,elevator,Elevator
140,236,3,female prayer area,3rd floor female Prayer area
155,213,3,office,offices
181,146,3,office,offices
181,111,3,faculty pods,faculty pods
127,125,3,faculty pods,faculty pods
121,192,3,office,Lost and found/transport office
98,230,3,male prayer area,3rd floor male prayer area
85,251,3,washroom,3rd floor washroom
92,275,3,cafeteria,faculty cafeteria
152,103,4,classroom,H-508
163,69,4,classroom,H-509
138,62,4,classroom,H-507
117,76,4,classroom,H-506
101,91,4,classroom,H-505
112,119,4,classroom,H-504
100,153,4,classroom,H-503
101,186,4,classroom,H-502
101,219,4,classroom,H-501
97,278,4,cafeteria,Grito
106,278,4,recreation,Nestcafe
176,251,4,elevator,Elevator
218,209,4,recreation,Talaab
216,157,4,recreation,Study pods
212,118,4,washroom,horizon washroom
212,95,4,cafeteria,Skydhaba

